spectrum_key	peptide_key	number_of_nodes	number_of_edges
-3890386021042264016	-971972119423103052	13	35
8308023956616479510	185502928689520875	13	34
8589761487875454853	-971972119423103052	13	35
2821884527628155982	-182567638108928241	13	34
4971837008827172741	-971972119423103052	13	35
2826881427555567968	-971972119423103052	13	35
3511437880950764035	-8721393127279200332	12	26
4200916067203942453	-8881249935239163276	13	34
654508103198088984	-8881249935239163276	13	34
-652037735303002461	-971972119423103052	13	35
4200914345876755127	7089468728510275819	13	34
-7389099402734889717	-182567638108928241	13	34
-5939386254899577245	-971972119423103052	13	35
4579217122020288970	-182567638108928241	13	34
5598227144676152033	-8881249935239163276	13	34
925752440381457437	7089468728510275819	13	34
5620289777693549835	-182567638108928241	13	34
-2264269070290849913	-8721393127279200332	12	26
-7469367477532122032	-971972119423103052	13	35
-6551549345690053365	7089468728510275819	13	34
-2855662540519239961	-3278825306208346022	12	27
-6688841473285784572	4066965484202623066	13	36
6185056968120663119	-182567638108928241	13	34
5615152483115847717	-182567638108928241	13	34
2992708829210946897	-971972119423103052	13	35
-2561971826165194456	-8721393127279200332	12	26
-2858928105905310691	-182567638108928241	13	34
4441294376223804494	-182567638108928241	13	34
3852952661971477986	-182567638108928241	13	34
926544769670689283	-182567638108928241	13	34
8254085835923548073	-8721393127279200332	12	26
3851598931872172084	-8881249935239163276	13	34
8587065561716044439	-971972119423103052	13	35
-2529085277205180119	-8881249935239163276	13	34
-2478985849855887308	-182567638108928241	13	34
-1140620654870060283	-574999707468611984	13	35
-2525214272256416761	7041329212137566875	13	34
4966727243641470742	6439706339547056264	6	5
-1142197372543362561	7089468728510275819	13	34
688860220560172029	-8881249935239163276	13	34
-2687277543446229644	-971972119423103052	13	35
4969739202730445829	-971972119423103052	13	35
-7463033875779815512	-971972119423103052	13	35
-2857291165448447541	-182567638108928241	13	34
5352377302714797666	7365231207034736981	12	26
-2931429451209627295	-971972119423103052	13	35
6348062261230796428	-971972119423103052	13	35
4590898534183608496	-182567638108928241	13	34
2991494100365885575	-971972119423103052	13	35
3004671174984393771	-971972119423103052	13	35
-2564869765295612026	-971972119423103052	13	35
-6180770432187670492	-182567638108928241	13	34
-2562677400789225176	-971972119423103052	13	35
-6389645817202075662	-8881249935239163276	13	34
-5937753384192341705	-971972119423103052	13	35
-9018645158757948668	-182567638108928241	13	34
883174543356186342	-182567638108928241	13	34
-7351491964929753462	-182567638108928241	13	34
-2558666001899961338	-8721393127279200332	12	26
3677207488816263303	-971972119423103052	13	35
653935400936559286	-182567638108928241	13	34
8346651858773019117	7089468728510275819	13	34
687928996787525091	7089468728510275819	13	34
4199455186111653347	-182567638108928241	13	34
-6390193889826929952	-8881249935239163276	13	34
607142278301131049	-5580357888663166886	12	27
6353128864937225278	-971972119423103052	13	35
5618464654112255627	-182567638108928241	13	34
4200411742709178137	-8881249935239163276	13	34
4995685082852317537	-971972119423103052	13	35
-3881708024029212454	-971972119423103052	13	35
5968402651284742658	-182567638108928241	13	34
-2264115077278538745	-971972119423103052	13	35
663913974725175282	-8721393127279200332	12	26
-5926945674125104799	-182567638108928241	13	34
-6721931479336527413	7089468728510275819	13	34
2318142582122075165	-182567638108928241	13	34
-6721933193984949431	7089468728510275819	13	34
-3878499667098424800	-971972119423103052	13	35
-2568647876501969840	-8721393127279200332	12	26
5589250870302244633	-182567638108928241	13	34
6457705519433089218	-971972119423103052	13	35
-5932081941282612145	-182567638108928241	13	34
4659305468003561734	7089468728510275819	13	34
-6310187161138661327	-971972119423103052	13	35
8586653648840705067	-971972119423103052	13	35
663331268561990368	-182567638108928241	13	34
5362862721850315488	-182567638108928241	13	34
-2749587654354582870	4066965484202623066	13	36
8613000678606940114	-971972119423103052	13	35
-664119759609909029	4066965484202623066	13	36
8768376753633414222	-182567638108928241	13	34
2816812772404895330	-971972119423103052	13	35
601475233035203665	-971972119423103052	13	35
6274646523659174909	-182567638108928241	13	34
-6379658874469408074	-8881249935239163276	13	34
-4285220990344968151	-971972119423103052	13	35
-7460376303814832250	-5580357888663166886	12	27
934129051203962381	-182567638108928241	13	34
8766189337063711456	-182567638108928241	13	34
-6309643899787023069	-971972119423103052	13	35
-5551222726068262899	-971972119423103052	13	35
7663981380351441958	-971972119423103052	13	35
-1173711005754533976	-8721393127279200332	12	26
4306290960904653324	-4868516151375432336	5	4
-2697282644629391312	-971972119423103052	13	35
5469367081180020048	-971972119423103052	13	35
702519839102846963	-8721393127279200332	12	26
-4077626216765411292	-574999707468611984	13	35
3501034992987702797	-182567638108928241	13	34
8255513981903279111	-8721393127279200332	12	26
-2473318322999806002	-8881249935239163276	13	34
-2572679644120284412	-971972119423103052	13	35
4444481580131044046	-971972119423103052	13	35
8256057175625892117	-6901842014140277278	12	25
-664727470529643457	-971972119423103052	13	35
-661064050307043979	-971972119423103052	13	35
697926837751932879	-182567638108928241	13	34
6275577769435641315	-8881249935239163276	13	34
-2468429877251885815	-182567638108928241	13	34
-2846483955874438369	-574999707468611984	13	35
-2920893336327583433	-971972119423103052	13	35
6279711335286313295	-8881249935239163276	13	34
3500491800313598751	-182567638108928241	13	34
5734819101483528455	-182567638108928241	13	34
-4244611907484907529	4066965484202623066	13	36
8589611018167145515	-971972119423103052	13	35
6856981441573639433	-182567638108928241	13	34
6188054379826932023	-971972119423103052	13	35
-700450020523259914	4066965484202623066	13	36
-7462210230341073914	-971972119423103052	13	35
3007807812160201387	-971972119423103052	13	35
6347688681725343756	-971972119423103052	13	35
8769087344373980238	7089468728510275819	13	34
-2919118062505722269	-971972119423103052	13	35
-4241656766619726195	-971972119423103052	13	35
-1151254565732032235	-182567638108928241	13	34
6277041315385721527	-182567638108928241	13	34
4995531089137980129	-182567638108928241	13	34
-7461632059600105196	-182567638108928241	13	34
-9009159003264098028	-182567638108928241	13	34
-5368161321478582645	-574999707468611984	13	35
8628058621590697002	-971972119423103052	13	35
8580316195139229651	-971972119423103052	13	35
5470968356142338182	4066965484202623066	13	36
892380170617107980	-182567638108928241	13	34
6575542191910068906	-971972119423103052	13	35
-2267243302042003543	-971972119423103052	13	35
3302266379341780232	-7425060290277130640	13	35
4960747857081755603	-971972119423103052	13	35
2818276039249291574	-971972119423103052	13	35
8356066528576205063	-182567638108928241	13	34
700947981777328481	-971972119423103052	13	35
-3880099083432993420	-971972119423103052	13	35
3964079524210135077	-574999707468611984	13	35
-6733894375335096143	-182567638108928241	13	34
-6723702507656048921	-182567638108928241	13	34
6580135193261965974	-971972119423103052	13	35
4208941099493533683	-8881249935239163276	13	34
3343442616758917160	-971972119423103052	13	35
-9013572784488988376	-8721393127279200332	12	26
2314958782500747723	-182567638108928241	13	34
-2571125239953943804	-7425060290277130640	13	35
5591073127866348215	-8881249935239163276	13	34
